plot,grid_ref,filename,species,probability,actual_date,session_date,day,month,year,time,scientific_name,english_name,group,guild,warnings,classifier_code,manual_check
104,ST7528733487,ST7528733487__0__20210816_042812_Barbar.wav,Barbar,0.99,16/08/2021,15/08/2021,15,8,2021,04:28:12,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
104,ST7528733487,ST7528733487__0__20210816_045310_Barbar.wav,Barbar,0.99,16/08/2021,15/08/2021,15,8,2021,04:53:10,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
108,ST7534733361,ST7534733361__0__20210823_204359_Barbar.wav,Barbar,0.99,23/08/2021,23/08/2021,23,8,2021,20:43:59,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
101,ST7540733541,ST7540733541__0__20210813_204647_Barbar.wav,Barbar,0.99,13/08/2021,13/08/2021,13,8,2021,20:46:47,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
101,ST7540733541,ST7540733541__0__20210813_204821_Barbar.wav,Barbar,0.99,13/08/2021,13/08/2021,13,8,2021,20:48:21,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
101,ST7540733541,ST7540733541__0__20210813_205057_Barbar.wav,Barbar,0.99,13/08/2021,13/08/2021,13,8,2021,20:50:57,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
101,ST7540733541,ST7540733541__0__20210814_002154_Barbar.wav,Barbar,0.99,14/08/2021,14/08/2021,14,8,2021,00:21:54,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
101,ST7540733541,ST7540733541__0__20210821_201932_Barbar.wav,Barbar,0.99,21/08/2021,21/08/2021,21,8,2021,20:19:32,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
101,ST7540733541,ST7540733541__0__20210821_202526_Barbar.wav,Barbar,0.99,21/08/2021,21/08/2021,21,8,2021,20:25:26,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
101,ST7540733541,ST7540733541__0__20210822_050307_Barbar.wav,Barbar,0.99,22/08/2021,21/08/2021,21,8,2021,05:03:07,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
101,ST7540733541,ST7540733541__0__20210822_050433_Barbar.wav,Barbar,0.99,22/08/2021,21/08/2021,21,8,2021,05:04:33,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
101,ST7540733541,ST7540733541__0__20210822_051832_Barbar.wav,Barbar,0.99,22/08/2021,21/08/2021,21,8,2021,05:18:32,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_205554_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,20:55:54,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_205638_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,20:56:38,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_205649_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,20:56:49,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_205655_Barbar.wav,Barbar,0.97,15/08/2021,15/08/2021,15,8,2021,20:56:55,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_205658_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,20:56:58,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_205707_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,20:57:07,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_205713_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,20:57:13,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_205719_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,20:57:19,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_205722_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,20:57:22,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_205728_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,20:57:28,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_205735_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,20:57:35,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_205741_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,20:57:41,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_205752_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,20:57:52,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_205757_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,20:57:57,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_205826_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,20:58:26,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_210543_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:05:43,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211122_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:11:22,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211132_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:11:32,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211138_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:11:38,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211144_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:11:44,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211150_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:11:50,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211156_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:11:56,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211202_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:12:02,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211208_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:12:08,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211217_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:12:17,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211225_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:12:25,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
